City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bereeda,11.8704,51.0579,84.92,73,29,7.29,SO,1714948974
83,choyr,46.3611,108.3611,50.0,56,7,6.33,MN,1714949556
84,mata-utu,-13.2816,-176.1745,84.43,78,97,11.56,WF,1714949557
85,itamaraca,-7.7478,-34.8256,84.25,79,36,8.9,BR,1714949557
86,sitka,57.0531,-135.33,44.49,76,100,4.61,US,1714949557
87,ivdel',60.6911,60.4206,30.18,66,38,3.0,RU,1714949557
88,ribeira grande,38.5167,-28.7,65.77,94,100,17.0,PT,1714949557
89,punta arenas,-53.15,-70.9167,32.11,74,0,8.05,CL,1714949557
90,dunedin,-45.8742,170.5036,48.79,74,94,8.99,NZ,1714949558
91,constantia,44.1833,28.65,48.88,68,0,10.58,RO,1714949558
92,shetpe,44.1667,52.1167,51.57,67,100,13.44,KZ,1714949558
93,prejmer,45.7167,25.7667,53.26,94,32,1.61,RO,1714949558
94,pontevedra,42.431,-8.6444,54.14,94,2,3.02,ES,1714949550
95,domna,51.8971,113.1573,42.96,100,20,2.24,RU,1714949558
96,oudtshoorn,-33.5907,22.2014,64.18,20,34,6.67,ZA,1714949558
97,sandnessjoen,66.0217,12.6316,39.72,70,7,14.34,NO,1714949558
98,ilulissat,69.2167,-51.1,21.22,86,100,6.91,GL,1714949559
99,fortuna,40.5982,-124.1573,58.66,65,100,11.5,US,1714949559
100,sampit,-2.5333,112.95,74.37,99,72,1.9,ID,1714949559
101,gulnar,36.3415,33.3992,47.14,61,12,8.93,TR,1714949559
102,bikenibeu village,1.3673,173.1241,85.96,74,75,3.44,KI,1714949559
103,bamboo flat,11.7,92.7167,82.98,76,75,4.68,IN,1714949559
104,caconda,-13.7333,15.0667,56.88,58,3,4.27,AO,1714949559
105,thompson,55.7435,-97.8558,53.76,47,75,9.22,CA,1714949431
106,puerto leguizamo,-0.1934,-74.7819,73.69,99,100,4.05,CO,1714949560
107,bayganin,48.6947,55.8742,44.26,40,100,7.7,KZ,1714949560
108,albany,42.6001,-73.9662,52.09,83,100,1.01,US,1714949560
109,lompoc,34.6391,-120.4579,66.78,59,0,23.02,US,1714949560
110,leava,-14.3,-178.1667,84.7,79,100,12.44,WF,1714949560
111,vorgashor,67.5833,63.95,-2.2,100,100,2.3,RU,1714949560
112,gelemso,8.8167,40.5167,60.89,94,100,4.16,ET,1714949560
113,cabo san lucas,22.8909,-109.9124,88.61,30,40,10.36,MX,1714949360
114,nurota,40.5614,65.6886,58.91,68,24,3.4,UZ,1714949561
115,invercargill,-46.4,168.35,46.02,79,86,10.0,NZ,1714949561
116,guerrero negro,27.9769,-114.0611,66.06,61,5,23.06,MX,1714949561
117,bredasdorp,-34.5322,20.0403,55.65,65,88,4.05,ZA,1714949561
118,yellowknife,62.456,-114.3525,56.41,59,75,11.5,CA,1714949561
119,sinabang,2.4803,96.3801,80.55,87,84,1.34,ID,1714949561
120,shevchenko,48.5,35.0,55.74,45,46,12.68,UA,1714949561
121,bukama,-9.2,25.85,68.86,69,0,3.42,CD,1714949561
122,gornyy,55.1153,83.9059,42.26,79,100,9.82,RU,1714949561
123,ixtapa,20.7,-105.2,81.23,74,100,5.01,MX,1714949562
124,klyuchi,52.2667,79.1667,42.64,67,100,10.27,RU,1714949562
125,hamilton,39.1834,-84.5333,79.43,59,0,8.05,US,1714949516
126,batticaloa,7.7102,81.6924,82.31,84,100,7.25,LK,1714949562
127,port elizabeth,-33.918,25.5701,63.32,66,0,4.61,ZA,1714949562
128,stanley,54.868,-1.6985,53.53,93,40,3.44,GB,1714949562
129,zyryanskoye,56.8306,86.6258,45.66,74,100,9.82,RU,1714949562
130,kirensk,57.7853,108.1119,44.96,93,96,3.0,RU,1714949562
131,turriff,57.5384,-2.4593,55.33,97,100,4.72,GB,1714949563
132,tura,25.5198,90.2201,66.07,93,18,4.21,IN,1714949563
133,tolanaro,-25.0319,46.9987,71.67,83,20,16.11,MG,1714949563
134,port blair,11.6667,92.75,83.89,76,69,4.94,IN,1714949281
135,colonia,50.9333,6.95,57.96,75,0,2.3,DE,1714949465
136,papatowai,-46.5619,169.4708,46.98,63,89,14.65,NZ,1714949563
137,ushtobe,45.2514,77.9838,62.73,76,85,16.24,KZ,1714949564
138,mahibadhoo,3.7833,72.9667,84.81,80,99,12.24,MV,1714949564
139,baardheere,2.3446,42.2764,77.05,86,100,7.54,SO,1714949564
140,hermanus,-34.4187,19.2345,55.8,65,27,13.02,ZA,1714949564
141,petropavlovsk-kamchatsky,53.0452,158.6483,41.59,78,40,8.01,RU,1714949564
142,quezon,7.7303,125.0989,78.37,69,44,2.93,PH,1714949564
143,hadibu,12.65,54.0333,84.79,79,16,1.77,YE,1714949564
144,utrik,11.2278,169.8474,81.45,81,90,16.89,MH,1714949565
145,shenjiamen,29.9576,122.298,62.87,93,95,5.7,CN,1714949565
146,margaret river,-33.95,115.0667,58.68,84,55,8.72,AU,1714949565
147,suoyarvi,62.0833,32.35,26.92,81,20,3.4,RU,1714949565
148,san patricio,28.017,-97.5169,80.55,68,34,17.02,US,1714949565
149,garango,11.8,-0.5506,92.26,39,63,6.31,BF,1714949565
150,college,64.8569,-147.8028,59.07,40,75,10.36,US,1714949363
151,port mathurin,-19.6833,63.4167,78.76,65,97,17.63,MU,1714949565
152,mercedes,-34.6515,-59.4307,65.79,92,100,5.95,AR,1714949468
153,portland,45.5234,-122.6762,54.19,93,100,12.66,US,1714949481
154,todos santos,23.45,-110.2167,92.3,80,59,8.1,MX,1714949566
155,berrotaran,-32.451,-64.3887,55.22,83,69,2.26,AR,1714949566
156,gornozavodsk,58.3758,58.3211,26.13,80,39,4.07,RU,1714949566
157,windhoek,-22.5594,17.0832,58.1,32,0,6.91,NA,1714949566
